"Year","Month","Rainfall","Month_num"
1901,"Jan",17.4,1
1901,"Feb",19.7,2
1901,"Mar",32.4,3
1901,"Apr",229.3,4
1901,"May",358.3,5
1901,"Jun",59.7,6
1901,"Jul",142,7
1901,"Aug",356,8
1901,"Sep",98.9,9
1901,"Oct",63.8,10
1901,"Nov",19.9,11
1901,"Dec",21.4,12
1902,"Jan",7.2,1
1902,"Feb",0.5,2
1902,"Mar",12.1,3
1902,"Apr",46.6,4
1902,"May",678.9,5
1902,"Jun",392.8,6
1902,"Jul",413.4,7
1902,"Aug",673.3,8
1902,"Sep",16.3,9
1902,"Oct",23.9,10
1902,"Nov",136.9,11
1902,"Dec",75.3,12
1903,"Jan",34.4,1
1903,"Feb",5.2,2
1903,"Mar",67,3
1903,"Apr",119.8,4
1903,"May",354.8,5
1903,"Jun",640.6,6
1903,"Jul",283.7,7
1903,"Aug",380.5,8
1903,"Sep",420,9
1903,"Oct",42.4,10
1903,"Nov",27.9,11
1903,"Dec",2.2,12
1904,"Jan",3.1,1
1904,"Feb",5.1,2
1904,"Mar",95,3
1904,"Apr",48.3,4
1904,"May",196.3,5
1904,"Jun",499.2,6
1904,"Jul",183.6,7
1904,"Aug",702.1,8
1904,"Sep",248.1,9
1904,"Oct",51.1,10
1904,"Nov",5.4,11
1904,"Dec",6,12
1905,"Jan",45.6,1
1905,"Feb",28,2
1905,"Mar",291.5,3
1905,"Apr",31.4,4
1905,"May",173.6,5
1905,"Jun",500.5,6
1905,"Jul",228.5,7
1905,"Aug",308,8
1905,"Sep",80.9,9
1905,"Oct",46.6,10
1905,"Nov",7.3,11
1905,"Dec",60,12
1906,"Jan",50.6,1
1906,"Feb",56.9,2
1906,"Mar",66.6,3
1906,"Apr",248.6,4
1906,"May",294.3,5
1906,"Jun",149.7,6
1906,"Jul",176.9,7
1906,"Aug",101.1,8
1906,"Sep",777.9,9
1906,"Oct",33.5,10
1906,"Nov",4.3,11
1906,"Dec",16.9,12
1907,"Jan",87.9,1
1907,"Feb",4.1,2
1907,"Mar",8.5,3
1907,"Apr",298.4,4
1907,"May",286.4,5
1907,"Jun",334.5,6
1907,"Jul",187.4,7
1907,"Aug",377.9,8
1907,"Sep",494.9,9
1907,"Oct",228.1,10
1907,"Nov",32.3,11
1907,"Dec",37.3,12
1908,"Jan",67.4,1
1908,"Feb",72.2,2
1908,"Mar",19.2,3
1908,"Apr",283.5,4
1908,"May",33.6,5
1908,"Jun",387.5,6
1908,"Jul",565.5,7
1908,"Aug",307.1,8
1908,"Sep",348.6,9
1908,"Oct",138.5,10
1908,"Nov",3.9,11
1908,"Dec",108.9,12
1909,"Jan",37,1
1909,"Feb",42.5,2
1909,"Mar",59.3,3
