"Day","Month","WindSpeed","Year"
28,"Jul",27,2011
29,"Jul",35.2,2011
30,"Jul",22.6,2011
31,"Jul",14.2,2011
1,"Aug",7.1,2011
2,"Aug",15.6,2011
3,"Aug",20.5,2011
4,"Aug",14.3,2011
5,"Aug",8.5,2011
6,"Aug",14.5,2011
7,"Aug",13.8,2011
8,"Aug",15.7,2011
9,"Aug",12.4,2011
10,"Aug",20.5,2011
11,"Aug",16.2,2011
12,"Aug",12.8,2011
13,"Aug",14,2011
14,"Aug",12.4,2011
15,"Aug",11.3,2011
16,"Aug",10.9,2011
17,"Aug",11.6,2011
18,"Aug",9.8,2011
19,"Aug",14.5,2011
20,"Aug",15.5,2011
21,"Aug",7.9,2011
22,"Aug",8.8,2011
23,"Aug",13.7,2011
24,"Aug",15.1,2011
25,"Aug",7.3,2011
26,"Aug",11.2,2011
27,"Aug",8.7,2011
28,"Aug",14.4,2011
29,"Aug",18.4,2011
30,"Aug",23.9,2011
31,"Aug",13.1,2011
1,"Sep",11.8,2011
2,"Sep",6.2,2011
3,"Sep",15,2011
4,"Sep",8.5,2011
5,"Sep",6.8,2011
6,"Sep",9.7,2011
7,"Sep",15.3,2011
8,"Sep",18.4,2011
9,"Sep",27.6,2011
10,"Sep",34.6,2011
11,"Sep",37,2011
12,"Sep",33.2,2011
13,"Sep",19.8,2011
14,"Sep",16.9,2011
15,"Sep",24,2011
16,"Sep",25.9,2011
17,"Sep",27,2011
18,"Sep",30.4,2011
19,"Sep",24.7,2011
20,"Sep",24.7,2011
21,"Sep",24.6,2011
22,"Sep",30.9,2011
23,"Sep",38.4,2011
24,"Sep",41.2,2011
25,"Sep",51.5,2011
26,"Sep",44.9,2011
27,"Sep",19.4,2011
28,"Sep",37.2,2011
29,"Sep",63,2011
30,"Sep",24.6,2011
1,"Oct",46.4,2011
2,"Oct",32.7,2011
3,"Oct",43.5,2011
4,"Oct",50,2011
5,"Oct",34.4,2011
6,"Oct",31.5,2011
7,"Oct",35.8,2011
8,"Oct",33,2011
9,"Oct",27.5,2011
10,"Oct",40,2011
11,"Oct",47.7,2011
12,"Oct",34.5,2011
13,"Oct",22.2,2011
14,"Oct",19.4,2011
15,"Oct",22.8,2011
16,"Oct",20.2,2011
17,"Oct",19.5,2011
18,"Oct",26.5,2011
19,"Oct",33.8,2011
20,"Oct",21.3,2011
21,"Oct",15.8,2011
22,"Oct",26.3,2011
23,"Oct",24.4,2011
24,"Oct",8.7,2011
25,"Oct",25.8,2011
26,"Oct",29.5,2011
27,"Oct",32.3,2011
28,"Oct",26.4,2011
29,"Oct",15.8,2011
30,"Oct",24.3,2011
31,"Oct",37.5,2011
1,"Nov",25.3,2011
2,"Nov",19.6,2011
3,"Nov",23.6,2011
4,"Nov",19.9,2011
5,"Nov",19.9,2011
6,"Nov",31.3,2011
7,"Nov",39.7,2011
8,"Nov",35.3,2011
9,"Nov",41.2,2011
10,"Nov",33.8,2011
11,"Nov",22,2011
12,"Nov",10.7,2011
13,"Nov",13.8,2011
14,"Nov",28,2011
16,"Nov",32.8,2011
17,"Nov",33.1,2011
18,"Nov",14.8,2011
19,"Nov",18.7,2011
20,"Nov",33.8,2011
21,"Nov",46.8,2011
22,"Nov",25.5,2011
23,"Nov",23.5,2011
24,"Nov",31.3,2011
25,"Nov",40.3,2011
26,"Nov",36,2011
27,"Nov",23,2011
28,"Nov",22.7,2011
29,"Nov",22.1,2011
30,"Nov",15.9,2011
1,"Dec",36.5,2011
2,"Dec",32.4,2011
3,"Dec",22.4,2011
4,"Dec",33,2011
5,"Dec",38.4,2011
6,"Dec",27.5,2011
7,"Dec",13.7,2011
8,"Dec",38,2011
9,"Dec",41.3,2011
10,"Dec",43,2011
11,"Dec",33.3,2011
12,"Dec",23.3,2011
13,"Dec",20.3,2011
14,"Dec",13.3,2011
15,"Dec",21.2,2011
16,"Dec",29.3,2011
17,"Dec",29.7,2011
18,"Dec",25.8,2011
19,"Dec",30.3,2011
20,"Dec",23.5,2011
21,"Dec",15.2,2011
22,"Dec",24.4,2011
23,"Dec",28.1,2011
24,"Dec",38,2011
25,"Dec",26,2011
26,"Dec",28.9,2011
27,"Dec",39,2011
28,"Dec",19.5,2011
29,"Dec",26.1,2011
30,"Dec",27.3,2011
31,"Dec",18.8,2011
1,"Jan",19.3,2012
2,"Jan",30.8,2012
3,"Jan",29.7,2012
4,"Jan",33.3,2012
5,"Jan",26.7,2012
6,"Jan",17.7,2012
7,"Jan",19.1,2012
8,"Jan",13.5,2012
9,"Jan",13.5,2012
10,"Jan",13.5,2012
11,"Jan",22.2,2012
12,"Jan",24.2,2012
13,"Jan",21.9,2012
14,"Jan",18.6,2012
15,"Jan",14.6,2012
16,"Jan",13,2012
17,"Jan",26.5,2012
18,"Jan",27.2,2012
19,"Jan",14.1,2012
20,"Jan",33.2,2012
21,"Jan",33.9,2012
22,"Jan",28.6,2012
23,"Jan",29.8,2012
24,"Jan",34.8,2012
25,"Jan",30.5,2012
26,"Jan",38,2012
27,"Jan",27.5,2012
28,"Jan",16.8,2012
29,"Jan",17.1,2012
30,"Jan",15,2012
31,"Jan",17.3,2012
1,"Feb",21.8,2012
2,"Feb",32,2012
3,"Feb",26.2,2012
4,"Feb",29.2,2012
5,"Feb",23.4,2012
6,"Feb",16.5,2012
7,"Feb",27.8,2012
8,"Feb",29.4,2012
9,"Feb",40.8,2012
10,"Feb",23.4,2012
11,"Feb",20,2012
12,"Feb",23.4,2012
13,"Feb",16.3,2012
14,"Feb",16.8,2012
15,"Feb",18.3,2012
16,"Feb",24.9,2012
17,"Feb",24,2012
18,"Feb",30.2,2012
19,"Feb",33.2,2012
20,"Feb",35,2012
21,"Feb",23.5,2012
22,"Feb",17.4,2012
23,"Feb",13.7,2012
24,"Feb",23.1,2012
25,"Feb",28.1,2012
26,"Feb",29.1,2012
27,"Feb",28.7,2012
28,"Feb",24.2,2012
29,"Feb",36.6,2012
1,"Mar",22.8,2012
2,"Mar",14.4,2012
3,"Mar",33.3,2012
4,"Mar",22.9,2012
5,"Mar",13.7,2012
6,"Mar",13.1,2012
7,"Mar",23.4,2012
8,"Mar",32.7,2012
9,"Mar",28.8,2012
10,"Mar",26.5,2012
11,"Mar",25.6,2012
12,"Mar",32.2,2012
13,"Mar",21.6,2012
14,"Mar",28.9,2012
15,"Mar",26.6,2012
16,"Mar",14.1,2012
17,"Mar",7.4,2012
18,"Mar",5.7,2012
19,"Mar",21.2,2012
20,"Mar",21.5,2012
22,"Mar",24.5,2012
23,"Mar",21.2,2012
24,"Mar",31.2,2012
25,"Mar",24,2012
26,"Mar",35.3,2012
27,"Mar",28.7,2012
28,"Mar",28.8,2012
29,"Mar",28.8,2012
30,"Mar",22.8,2012
31,"Mar",26.8,2012
1,"Apr",23.5,2012
2,"Apr",18.1,2012
3,"Apr",6.3,2012
4,"Apr",27.4,2012
5,"Apr",15.4,2012
6,"Apr",33.5,2012
7,"Apr",38.8,2012
8,"Apr",30.4,2012
9,"Apr",21.2,2012
10,"Apr",14.3,2012
11,"Apr",8.4,2012
12,"Apr",9.5,2012
13,"Apr",15.3,2012
14,"Apr",11.9,2012
15,"Apr",14.8,2012
16,"Apr",19.9,2012
18,"Apr",32,2012
19,"Apr",20.2,2012
20,"Apr",15.7,2012
21,"Apr",6.5,2012
22,"Apr",12.2,2012
23,"Apr",23.5,2012
24,"Apr",32.1,2012
25,"Apr",24.1,2012
26,"Apr",23.7,2012
27,"Apr",30.1,2012
28,"Apr",21.6,2012
29,"Apr",22.9,2012
30,"Apr",29.6,2012
1,"May",28.2,2012
2,"May",26.4,2012
3,"May",23.8,2012
4,"May",18.4,2012
5,"May",22.6,2012
6,"May",17.7,2012
7,"May",12.7,2012
8,"May",11.5,2012
9,"May",24.7,2012
10,"May",22,2012
11,"May",33.7,2012
12,"May",27.9,2012
13,"May",13.8,2012
14,"May",11.2,2012
15,"May",8.5,2012
16,"May",16,2012
17,"May",11.8,2012
18,"May",28.1,2012
19,"May",18.2,2012
20,"May",15.2,2012
21,"May",41.5,2012
22,"May",40.8,2012
23,"May",38.1,2012
24,"May",31.2,2012
25,"May",29.8,2012
26,"May",29.7,2012
27,"May",27.7,2012
5,"Jun",9.7,2012
6,"Jun",14.1,2012
7,"Jun",16.3,2012
8,"Jun",11.9,2012
9,"Jun",23.5,2012
10,"Jun",37.6,2012
11,"Jun",41.1,2012
12,"Jun",24.7,2012
13,"Jun",17.4,2012
14,"Jun",15,2012
15,"Jun",25.7,2012
16,"Jun",32.9,2012
17,"Jun",32,2012
18,"Jun",30.8,2012
19,"Jun",32.1,2012
20,"Jun",20,2012
21,"Jun",21.8,2012
22,"Jun",35.6,2012
23,"Jun",37.7,2012
24,"Jun",35.5,2012
25,"Jun",35.1,2012
26,"Jun",31.1,2012
27,"Jun",26.9,2012
28,"Jun",13.5,2012
29,"Jun",34.9,2012
30,"Jun",31.5,2012
1,"Jul",22.5,2012
2,"Jul",19.2,2012
3,"Jul",11,2012
4,"Jul",14.1,2012
5,"Jul",20,2012
6,"Jul",19.2,2012
7,"Jul",22.3,2012
8,"Jul",20.3,2012
9,"Jul",15.9,2012
10,"Jul",22,2012
11,"Jul",27.2,2012
12,"Jul",22.9,2012
13,"Jul",25.8,2012
14,"Jul",30.5,2012
15,"Jul",28,2012
16,"Jul",26.1,2012
17,"Jul",22.7,2012
18,"Jul",12.7,2012
19,"Jul",11.8,2012
20,"Jul",8.7,2012
21,"Jul",11.9,2012
22,"Jul",39.5,2012
23,"Jul",73.1,2012
24,"Jul",62.1,2012
25,"Jul",29.4,2012
26,"Jul",18,2012
27,"Jul",15.5,2012
28,"Jul",8.5,2012
29,"Jul",7.9,2012
30,"Jul",14.7,2012
31,"Jul",16.4,2012
1,"Aug",14.7,2012
2,"Aug",16,2012
3,"Aug",14,2012
4,"Aug",20,2012
5,"Aug",18.8,2012
6,"Aug",10,2012
7,"Aug",15,2012
8,"Aug",20.7,2012
9,"Aug",26.7,2012
10,"Aug",26.4,2012
11,"Aug",20.8,2012
13,"Aug",11,2012
14,"Aug",10.4,2012
15,"Aug",5.3,2012
16,"Aug",36.2,2012
17,"Aug",37.8,2012
18,"Aug",16,2012
19,"Aug",10.2,2012
20,"Aug",11.7,2012
21,"Aug",11.5,2012
22,"Aug",10.6,2012
23,"Aug",6.1,2012
24,"Aug",13.3,2012
25,"Aug",16.3,2012
26,"Aug",26.8,2012
27,"Aug",16.3,2012
28,"Aug",21.5,2012
29,"Aug",18.9,2012
30,"Aug",14,2012
31,"Aug",12.5,2012
1,"Sep",26,2012
2,"Sep",23.2,2012
3,"Sep",16.6,2012
4,"Sep",26.7,2012
5,"Sep",28.4,2012
6,"Sep",31.4,2012
7,"Sep",19.8,2012
8,"Sep",5.8,2012
9,"Sep",7.7,2012
10,"Sep",8.8,2012
11,"Sep",14.5,2012
12,"Sep",13,2012
13,"Sep",13.3,2012
14,"Sep",33.6,2012
15,"Sep",23.8,2012
16,"Sep",13.3,2012
17,"Sep",15.7,2012
18,"Sep",10.1,2012
19,"Sep",18.1,2012
20,"Sep",33.3,2012
21,"Sep",34.9,2012
23,"Sep",5.9,2012
25,"Sep",36.2,2012
26,"Sep",18,2012
27,"Sep",13.8,2012
28,"Sep",29.8,2012
29,"Sep",23,2012
30,"Sep",22.7,2012
1,"Oct",34.1,2012
2,"Oct",29.7,2012
3,"Oct",20.3,2012
4,"Oct",20.8,2012
5,"Oct",31.8,2012
6,"Oct",28.8,2012
7,"Oct",30,2012
8,"Oct",23.8,2012
9,"Oct",14.9,2012
10,"Oct",18.1,2012
11,"Oct",16.8,2012
