"Day","Month","Rainfall","Year"
31,"Jul",9.5,2012
1,"Aug",0.2,2012
2,"Aug",0,2012
3,"Aug",0.01,2012
4,"Aug",0.4,2012
5,"Aug",6.8,2012
6,"Aug",2.8,2012
7,"Aug",0.01,2012
8,"Aug",0,2012
9,"Aug",0,2012
10,"Aug",7.7,2012
11,"Aug",64.7,2012
12,"Aug",12.4,2012
13,"Aug",9.5,2012
14,"Aug",1.9,2012
15,"Aug",0,2012
16,"Aug",15.4,2012
17,"Aug",0.01,2012
18,"Aug",0.1,2012
19,"Aug",0,2012
20,"Aug",0,2012
21,"Aug",0.01,2012
22,"Aug",5.1,2012
23,"Aug",0,2012
24,"Aug",0,2012
25,"Aug",0.01,2012
26,"Aug",0,2012
27,"Aug",0,2012
28,"Aug",0,2012
29,"Aug",2.4,2012
30,"Aug",0.01,2012
31,"Aug",20.4,2012
1,"Sep",11.1,2012
2,"Sep",6.7,2012
3,"Sep",0.01,2012
4,"Sep",7.6,2012
5,"Sep",0.5,2012
6,"Sep",2.3,2012
7,"Sep",4.7,2012
8,"Sep",8,2012
9,"Sep",0.01,2012
10,"Sep",0,2012
11,"Sep",0.01,2012
12,"Sep",0.01,2012
13,"Sep",0.7,2012
14,"Sep",0,2012
15,"Sep",0.01,2012
16,"Sep",0,2012
17,"Sep",0,2012
18,"Sep",0,2012
19,"Sep",0,2012
20,"Sep",1.8,2012
21,"Sep",1.2,2012
22,"Sep",23,2012
23,"Sep",0.9,2012
24,"Sep",121.5,2012
25,"Sep",22.6,2012
26,"Sep",0.4,2012
27,"Sep",0.01,2012
28,"Sep",0,2012
29,"Sep",0,2012
30,"Sep",0.01,2012
1,"Oct",0.01,2012
2,"Oct",0,2012
3,"Oct",0,2012
4,"Oct",0,2012
5,"Oct",0.1,2012
6,"Oct",0.01,2012
7,"Oct",0.01,2012
8,"Oct",0,2012
9,"Oct",0,2012
10,"Oct",0,2012
11,"Oct",0,2012
12,"Oct",0,2012
13,"Oct",0,2012
14,"Oct",0,2012
15,"Oct",0,2012
16,"Oct",0.01,2012
17,"Oct",0,2012
18,"Oct",0,2012
19,"Oct",0.01,2012
20,"Oct",0.01,2012
21,"Oct",0,2012
22,"Oct",0,2012
23,"Oct",0.01,2012
24,"Oct",0,2012
25,"Oct",0,2012
26,"Oct",0.7,2012
27,"Oct",0.8,2012
28,"Oct",0,2012
29,"Oct",0.4,2012
30,"Oct",33.3,2012
31,"Oct",11.1,2012
1,"Nov",0,2012
2,"Nov",0,2012
3,"Nov",0.01,2012
4,"Nov",0,2012
5,"Nov",0,2012
6,"Nov",0,2012
7,"Nov",0,2012
8,"Nov",1.9,2012
9,"Nov",0.01,2012
10,"Nov",0,2012
11,"Nov",0.3,2012
12,"Nov",0,2012
13,"Nov",0,2012
14,"Nov",0,2012
15,"Nov",0.01,2012
16,"Nov",0.01,2012
17,"Nov",3,2012
18,"Nov",0.1,2012
19,"Nov",0,2012
20,"Nov",0.3,2012
21,"Nov",3,2012
22,"Nov",0.4,2012
23,"Nov",17.7,2012
24,"Nov",0.01,2012
25,"Nov",11.5,2012
26,"Nov",0.6,2012
27,"Nov",19.5,2012
28,"Nov",1.1,2012
29,"Nov",2.6,2012
30,"Nov",1.9,2012
1,"Dec",0.3,2012
2,"Dec",3.2,2012
3,"Dec",10.9,2012
4,"Dec",8.7,2012
5,"Dec",6.5,2012
6,"Dec",0,2012
7,"Dec",0.01,2012
8,"Dec",0.9,2012
9,"Dec",0,2012
10,"Dec",0,2012
11,"Dec",0,2012
12,"Dec",0,2012
13,"Dec",0,2012
14,"Dec",0,2012
15,"Dec",0,2012
16,"Dec",0,2012
17,"Dec",0,2012
18,"Dec",2.3,2012
19,"Dec",1.1,2012
20,"Dec",0,2012
21,"Dec",0.01,2012
22,"Dec",0,2012
23,"Dec",0,2012
24,"Dec",0,2012
25,"Dec",0,2012
26,"Dec",0.01,2012
27,"Dec",0.01,2012
28,"Dec",0.01,2012
29,"Dec",22.1,2012
30,"Dec",0.01,2012
31,"Dec",0,2012
1,"Jan",0,2013
2,"Jan",0,2013
3,"Jan",0,2013
4,"Jan",0,2013
5,"Jan",0,2013
6,"Jan",0,2013
7,"Jan",0,2013
8,"Jan",0,2013
9,"Jan",0,2013
10,"Jan",0,2013
11,"Jan",0,2013
12,"Jan",0.01,2013
13,"Jan",0,2013
14,"Jan",0,2013
15,"Jan",0,2013
16,"Jan",0,2013
17,"Jan",0,2013
18,"Jan",0,2013
19,"Jan",0,2013
20,"Jan",0,2013
21,"Jan",0,2013
22,"Jan",0.01,2013
23,"Jan",0,2013
24,"Jan",0,2013
25,"Jan",0,2013
26,"Jan",2.8,2013
27,"Jan",0.6,2013
28,"Jan",0,2013
29,"Jan",0.01,2013
30,"Jan",0,2013
31,"Jan",0,2013
1,"Feb",0,2013
2,"Feb",0,2013
3,"Feb",0.01,2013
4,"Feb",0.01,2013
5,"Feb",0.01,2013
6,"Feb",0.01,2013
7,"Feb",0.01,2013
8,"Feb",0.2,2013
9,"Feb",0.01,2013
10,"Feb",0.01,2013
11,"Feb",0.01,2013
12,"Feb",0.01,2013
13,"Feb",0.01,2013
14,"Feb",0.01,2013
15,"Feb",0.5,2013
16,"Feb",0.1,2013
17,"Feb",0,2013
18,"Feb",0,2013
19,"Feb",0.01,2013
20,"Feb",0.01,2013
21,"Feb",0.01,2013
22,"Feb",0,2013
23,"Feb",0,2013
24,"Feb",0.01,2013
25,"Feb",0,2013
26,"Feb",0.2,2013
27,"Feb",0.01,2013
28,"Feb",0.5,2013
1,"Mar",0.1,2013
2,"Mar",0.8,2013
3,"Mar",0,2013
4,"Mar",0,2013
5,"Mar",0,2013
6,"Mar",0,2013
7,"Mar",0,2013
8,"Mar",0,2013
9,"Mar",0,2013
10,"Mar",0,2013
11,"Mar",0.01,2013
